ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,created_by,title,4_id,5_status,6_flowers,7_note,8_photo
145ae3f3-1ebf-491d-a096-8daa4d8809fc,dca181aa-c457-4c8d-9945-802c4784d8e8,2025-04-06T18:12:58.000Z,2025-04-06T18:14:03.000Z,jumboz2023@gmail.com,"6463_mai_greenblue 1",6463_mai_greenblue,1,no,,dca181aa-c457-4c8d-9945-802c4784d8e8_1743963176.jpg
145ae3f3-1ebf-491d-a096-8daa4d8809fc,85b46330-83bf-4944-bfba-f810bfd738fd,2025-04-06T18:12:33.000Z,2025-04-06T18:14:02.000Z,jumboz2023@gmail.com,"511_mai_purpleblue 0",511_mai_purpleblue,0,no,,85b46330-83bf-4944-bfba-f810bfd738fd_1743963144.jpg
145ae3f3-1ebf-491d-a096-8daa4d8809fc,62def383-08df-4468-81b9-204b4ba578ba,2025-04-06T18:12:08.000Z,2025-04-06T18:14:00.000Z,jumboz2023@gmail.com,"6886_mai_redblue 1",6886_mai_redblue,1,no,,62def383-08df-4468-81b9-204b4ba578ba_1743963125.jpg
145ae3f3-1ebf-491d-a096-8daa4d8809fc,81fa1688-c5eb-4842-bca6-76d863112453,2025-04-06T18:11:51.000Z,2025-04-06T18:13:59.000Z,jumboz2023@gmail.com,"TT24_206_mai_purpleblue 1",TT24_206_mai_purpleblue,1,yes,,81fa1688-c5eb-4842-bca6-76d863112453_1743963108.jpg
145ae3f3-1ebf-491d-a096-8daa4d8809fc,7f486c6a-e1ce-498b-bf80-9c4a83cdc4e4,2025-04-06T18:11:13.000Z,2025-04-06T18:13:58.000Z,jumboz2023@gmail.com,"TT24_231_mai_greenblue 1",TT24_231_mai_greenblue,1,yes,,7f486c6a-e1ce-498b-bf80-9c4a83cdc4e4_1743963068.jpg
145ae3f3-1ebf-491d-a096-8daa4d8809fc,d96f7838-7f37-4704-9b90-ddda7ceb7e8d,2025-04-06T18:10:46.000Z,2025-04-06T18:13:56.000Z,jumboz2023@gmail.com,"TT24_132_mai_orangeblue 1",TT24_132_mai_orangeblue,1,no,"2 individuals",d96f7838-7f37-4704-9b90-ddda7ceb7e8d_1743963041.jpg
145ae3f3-1ebf-491d-a096-8daa4d8809fc,45869b79-14b8-4316-837b-e8f3ce1c7ac0,2025-04-06T18:10:16.000Z,2025-04-06T18:13:55.000Z,jumboz2023@gmail.com,"2247_mai_orangeblue 0",2247_mai_orangeblue,0,no,,45869b79-14b8-4316-837b-e8f3ce1c7ac0_1743963013.jpg
145ae3f3-1ebf-491d-a096-8daa4d8809fc,9f2c1628-3df6-4b3e-a74d-c86cc9492ef0,2025-04-06T18:10:00.000Z,2025-04-06T18:13:54.000Z,jumboz2023@gmail.com,"2776_mai_whiteblue 1",2776_mai_whiteblue,1,no,"3individuals, 3rd individual died by disease?",9f2c1628-3df6-4b3e-a74d-c86cc9492ef0_1743962955.jpg
145ae3f3-1ebf-491d-a096-8daa4d8809fc,b63ca4a9-55cf-467d-8668-c380854ccdc6,2025-04-06T18:08:48.000Z,2025-04-06T18:13:53.000Z,jumboz2023@gmail.com,"682_mai_whiteblue 0",682_mai_whiteblue,0,no,Disease?,b63ca4a9-55cf-467d-8668-c380854ccdc6_1743962925.jpg
145ae3f3-1ebf-491d-a096-8daa4d8809fc,2c781e5a-7e9e-460f-82ac-41c56432d033,2025-04-06T18:08:19.000Z,2025-04-06T18:13:51.000Z,jumboz2023@gmail.com,"6027_mai_yellowblue 1",6027_mai_yellowblue,1,no,,2c781e5a-7e9e-460f-82ac-41c56432d033_1743962894.jpg
