date,id,plant health,plant height (cm),leaves (count),gasket,shoot weight (gram),root weight (gram),rhizome weight (gram),note
12/22/2025,4582_Tri_green,alive,13.8,3,good,1.43,0.84,7.49,
12/22/2025,5865_Tri_orange,alive_other,6.5,3,good,0.96,0.53,6.75,seneseed
12/22/2025,1374_Tri_white,alive,11.4,3,good,4.13,0.83,12.15,
12/22/2025,5722_Tri_purple_blue,alive,10.9,3,good,3.44,2.65,16.93,flowering
12/22/2025,4576_Tri_yellow,alive,15.4,3,good,2.58,1.22,8.66,
12/22/2025,5771_Tri_blue,alive,15.8,3+3,good,4.46,1.68,6.82,"cryovial reads ""5267_tri_pink"" but should be ""5771"", twin"
12/22/2025,5267_Tri_pink,alive_other,0.8,3,good,0.48,0.57,3.77,"cryovial has handwritten ""5267_b"", seneseed"
12/22/2025,2941_Tri_purple,alive,8.3,3+3,,4.17,2.65,14.02,"flowering, twin"
12/22/2025,2131_Tri_purple,alive,11.5,3,good,3.31,2.22,13.47,
12/22/2025,4934_Tri_green,alive,9.8,3,good,1.35,0.66,4.85,
12/22/2025,4777-C_Tri_yellow,dead_other,8.9,3,good,0.76,0.46,2.5,peticole pinched
12/22/2025,392_Tri_blue,dead_other,10.9,3,good,1.54,0.42,7.69,seneseed
12/22/2025,4777-A_Tri_pink,other,7.1,3,good,1.28,0.94,9,seneseed
12/22/2025,4149_Tri_red,alive,14.8,3,good,4.44,1.2,11.36,flowering
12/22/2025,1686_Tri_green,alive,18.6,3,good,3.57,1.52,10.74,flowering
12/22/2025,4547_Tri_purple,alive,7.6,3,,1.88,1.04,14.37,
12/22/2025,1827_Tri_yellow,alive,14.2,3,good,1.69,1.3,5.42,
12/22/2025,3371_Tri_blue,alive,9.1,3,good,1.7,1.68,10.06,
12/22/2025,2547_Tri_pink,alive,20.9,3+3,good,5.51,2.64,29.1,twins
12/22/2025,2996A1_Tri_red,alive,11.6,3,good,2.97,0.74,9.26,
12/22/2025,1851_Tri_orange,alive,9.4,3,good,1.71,0.83,3.19,
12/22/2025,5877_Tri_orange,alive,15.2,3,good,2.88,1.11,9.11,
12/22/2025,3031_Tri_white,alive,10.2,3,good,2.29,1.64,6.88,
12/22/2025,6875_Tri_white,alive,14.9,3,good,4.86,1.44,11.51,flowering
12/22/2025,5060_Tri_red_blue,alive,10.6,3,good,2.86,0.45,15.12,
12/22/2025,4444(2988)_Tri_red_blue,alive,18.4,3,good,5.42,1.31,12.64,flowering
12/22/2025,916_Tri_green_blue,alive,10.2,3,good,1.91,0.3,19.56,
12/22/2025,1184(5226)_Tri_yellow,dead,0,0,good,,,9.41,
12/22/2025,3708_Tri_blue,alive,16.5,3,good,4.36,1.13,18.06,the scan envelope is wrong; is actually 3708 moved to correct envelope
12/22/2025,7147_Tri_pink,alive,15,3,good,3.5,1.34,13.84,flowering
12/22/2025,3043_Tri_purple,alive,18.2,3,good,3.44,3.74,15.59,
12/22/2025,972_Tri_purple,alive,18.3,3,good,5.23,2.47,21.15,
12/22/2025,4000_Tri_red,alive,19.5,3,good,6.71,2.08,22.51,flowering
12/22/2025,5115_Tri_pink,alive,11.2,3,good,1.43,0.88,7.16,seneseed
12/22/2025,2379_Tri_purple,alive,6.1,3,good,2.61,1.19,20.18,
12/22/2025,2289_Tri_green,alive,15.6,3,good,4.19,2.38,11.11,
12/22/2025,774_Tri_yellow,alive,13.9,3,good,2.1,3.66,13.13,
12/22/2025,5229_white_Tri_blue,dead_other,7.9,3,good,1.88,0.7,12.09,peticole pinched
12/22/2025,2703_Tri_pink,alive,19.4,3,good,5.22,1.56,13.03,root trying to cross
12/22/2025,5229_red_Tri_red,alive,12.4,3,good,1.93,1.75,8.26,
12/23/2025,452_Tri_blue,alive,17.9,3,good,3.06,1.62,10.34,
12/23/2025,4942_Tri_pink,alive,8.5,3,good,0.63,0.81,3.66,seneseed
12/23/2025,4712_Tri_red,alive,10,3,good,1.62,0.39,6.31,
12/23/2025,4109_Tri_red,alive,16.1,3,good,3.28,1.03,12.05,
12/23/2025,1975_Tri_purple,alive,12.2,3,good,2.36,0.92,3,
12/23/2025,7574_Tri_green,alive,9.3,3,good,2.2,0.93,38.28,leaf -20?C stripped
12/23/2025,2416_Tri_green_blue,alive,12.9,3,bad,0.86,0.62,4.03,"gaskets touching, seneseed"
12/23/2025,902_Tri_orange,alive,10.1,3,good,1.76,1.01,3.92,
12/23/2025,2980_Tri_white,,13.2,3,good,2.43,1.61,6.59,
